x,y,count,since_first,since_last,type
-1.2726434219753904,9.47910779484262,1947,57.54618453979492,0.6053142547607422,right,
0.5784189328082932,9.475471682264141,1433,57.54619741439819,2.426332473754883,right,
1.8775431603133097,9.379873216390829,937,57.546207904815674,3.810065269470215,right,
-3.070362023686539,9.393900432980331,2056,57.16376709938049,0.013840198516845703,right,
-5.021455567826742,9.392428450572817,1568,55.15510630607605,0.01391744613647461,right,
-6.475141919542674,9.467907029712237,965,52.6151282787323,48.69406270980835,right,
-8.973230838371826,9.227467969832137,1228,51.190820932388306,46.24036169052124,right,
-10.9752060346012,9.020000868276172,1065,49.2158100605011,44.88023257255554,right,
-12.626304435124197,8.22562158457952,657,47.57306933403015,44.880269050598145,right,
-13.22365128756917,7.366646296774503,480,46.862138748168945,44.880305767059326,right,
-13.619193110153622,5.327926831827303,353,45.635586738586426,40.668174743652344,right,
-13.605967681856525,1.469554876432368,568,41.37593913078308,39.10016393661499,right,
-13.82744561254256,3.127739130546938,568,41.37592053413391,39.10012888908386,right,
-12.858146322613985,0.6731399346151913,593,41.34497833251953,37.14022254943848,right,
-11.818633137987884,-0.2740206645608266,401,40.33585786819458,36.1805100440979,right,
-10.986621749441493,-0.7294623887288489,254,39.67219877243042,35.58780908584595,right,
-7.885255290328959,-0.5012982115447938,647,37.270538091659546,32.13248562812805,right,
-9.379409792627705,-0.7702162445302535,297,37.27051067352295,33.539594411849976,right,
-6.212897795421518,-0.6448282141092944,955,35.663236141204834,30.5175199508667,right,
-2.829481763700437,-0.9357010144801386,1203,32.219468116760254,27.274008989334106,right,
-4.672091324052034,-0.8106041570056481,775,32.17400884628296,29.026225090026855,right,
-0.9737685781861474,-0.8704298689059441,1205,30.374845266342163,25.425893783569336,right,
0.7241736078464731,-0.7759935670117182,1218,28.708239555358887,23.717780351638794,right,
3.1757787804768007,-0.8688167882442552,1229,26.228950023651123,21.2704598903656,right,
5.428090444247533,-0.7635902516562714,1194,23.98516535758972,19.1479275226593,right,
6.876735557289915,-0.3132072388498532,1209,22.587735414505005,17.699694633483887,right,
7.8253416036072965,-0.015662718800189733,1157,21.644092321395874,16.94711685180664,right,
9.228510013401298,1.4127846659550167,830,20.045255422592163,15.27909517288208,right,
9.37673956715377,2.1659227462135626,742,19.694841384887695,15.279272079467773,right,
8.471990186007098,0.1852221618869571,203,17.764269590377808,16.9473078250885,right,
9.434993622098155,3.8165050643898115,350,17.215972185134888,13.4201021194458,right,
9.334331936749562,6.52211612719115,813,15.52464485168457,11.228325128555298,right,
9.3556008528473,5.417233240398764,672,15.524584770202637,11.822741746902466,right,
8.781371404595498,7.477336487505066,808,14.322900533676147,10.378969669342041,right,
7.724418948596817,8.375040194128363,763,13.864551544189453,9.44651198387146,right,
6.628614198722947,9.07640727449493,640,12.904275894165039,7.9956560134887695,right,
5.3838737062871065,9.425578414068182,457,11.295332670211792,6.958908557891846,right,
3.3818905499877245,9.533521008086042,715,9.735554456710815,5.222992420196533,right,
-1.2280497104730268,7.57902197998522,1808,57.54668855667114,0.6443254947662354,left,
0.12018823726678414,7.571475490967382,1305,57.546693086624146,2.0882210731506348,left,
1.6200171602866151,7.6249695336892875,915,57.54669713973999,3.4393470287323,left,
-2.9744530491005245,7.617839397278487,2082,57.16018891334534,0.01446080207824707,left,
-4.575036756257364,7.570355668380562,1259,54.69568419456482,0.01447606086730957,left,
-9.431815093247527,7.632020862632713,897,49.12489700317383,45.501155614852905,left,
-10.967215733730944,6.465018483558224,184,47.30510759353638,46.561264991760254,left,
-11.564111268918483,5.718692118821992,184,46.86036491394043,46.120755434036255,left,
-10.305233815578717,7.127697387961701,145,45.51659321784973,44.88078498840332,left,
-11.840197295404645,4.621247829204394,155,41.376368284225464,40.75797653198242,left,
-11.841962273663224,3.6633134000443546,276,40.754719972610474,39.64875817298889,left,
-11.57879504884688,2.675369216354114,137,39.64541149139404,39.10069274902344,left,
-10.491402837812103,1.4873998786288478,33,37.27097678184509,37.14079761505127,left,
-9.929668701835901,1.1659655506972164,59,36.4164834022522,36.18105602264404,left,
-9.27818584390794,0.8766297056959725,79,35.66368341445923,33.86012673377991,left,
-8.367937927271534,0.8635934930693878,256,34.24480938911438,32.49080014228821,left,
-5.77267512420267,0.8777675798765083,808,33.26954388618469,30.119868755340576,left,
-3.173559624240242,0.8759264034383858,929,31.41016411781311,27.692699670791626,left,
-4.6206197853222015,0.9281233581862751,524,31.175172805786133,29.203660011291504,left,
1.123991091564144,0.8290544004439123,986,27.120904445648193,23.192885637283325,left,
-0.1711251719084369,0.8721981561050972,443,26.304444551467896,24.59647297859192,left,
3.423498466513745,0.8755854674993223,808,24.32461452484131,21.043494939804077,left,
5.375022075305879,1.0681348586343433,377,20.584917545318604,19.048567056655884,left,
6.380627766245398,1.310802078239991,423,19.539028644561768,17.7684805393219,left,
7.00427477152676,1.5693887029562017,193,18.003358125686646,17.040645122528076,left,
7.850911312352473,2.4427115375721415,32,15.525038719177246,15.388983011245728,left,
7.95390352986496,4.162662197365296,343,14.236139059066772,12.88011360168457,left,
7.702961507386836,5.30673579697765,233,13.01056432723999,11.819695949554443,left,
7.087737306876624,6.684617275543615,376,12.104883909225464,9.160682916641235,left,
5.825214073083075,7.17226806980946,89,9.354660749435425,8.98868703842163,left,
2.9672414531394424,7.581712743997475,270,6.370644807815552,5.169041872024536,left,
